city,company,date,price
CAN,AB,2020-03-19,390
CAN,AB,2020-03-19,470
CAN,BB,2020-03-19,346
CAN,BB,2020-03-19,567
CAN,BB,2020-03-19,313
CAN,BB,2020-03-19,421
CAN,BB,2020-03-19,405
CAN,XX,2020-03-19,423
CAN,XX,2020-03-19,418
CAN,YZ,2020-03-19,421
CAN,YZ,2020-03-19,429
CAN,YZ,2020-03-19,455
CTU,AB,2020-03-19,580
CTU,BB,2020-03-19,471
CTU,XX,2020-03-19,565
CTU,XX,2020-03-19,476
CTU,XX,2020-03-19,511
PEK,BB,2020-03-19,397
PEK,BB,2020-03-19,305
PEK,BB,2020-03-19,555
PEK,XX,2020-03-19,483
PEK,YZ,2020-03-19,335
PEK,YZ,2020-03-19,318
PEK,YZ,2020-03-19,595
PEK,YZ,2020-03-19,566
PEK,YZ,2020-03-19,564
WUH,XX,2020-03-19,505
WUH,XX,2020-03-19,560
WUH,XX,2020-03-19,493
WUH,XX,2020-03-19,462
WUH,YZ,2020-03-19,501
WUH,YZ,2020-03-19,462
WUH,YZ,2020-03-19,475
CAN,AB,2020-03-20,567
CAN,BB,2020-03-20,557
CAN,BB,2020-03-20,497
CAN,BB,2020-03-20,391
CAN,XX,2020-03-20,558
CAN,XX,2020-03-20,304
CAN,XX,2020-03-20,431
CAN,YZ,2020-03-20,458
CAN,YZ,2020-03-20,307
CTU,AB,2020-03-20,421
CTU,AB,2020-03-20,532
CTU,AB,2020-03-20,312
CTU,AB,2020-03-20,486
CTU,BB,2020-03-20,498
CTU,BB,2020-03-20,342
CTU,BB,2020-03-20,507
CTU,XX,2020-03-20,351
CTU,XX,2020-03-20,331
CTU,YZ,2020-03-20,348
PEK,AB,2020-03-20,557
PEK,AB,2020-03-20,520
PEK,AB,2020-03-20,487
PEK,BB,2020-03-20,573
PEK,BB,2020-03-20,570
PEK,XX,2020-03-20,430
PEK,XX,2020-03-20,529
PEK,XX,2020-03-20,518
PEK,XX,2020-03-20,413
PEK,YZ,2020-03-20,511
PEK,YZ,2020-03-20,507
WUH,AB,2020-03-20,321
WUH,AB,2020-03-20,355
WUH,AB,2020-03-20,382
WUH,AB,2020-03-20,504
WUH,AB,2020-03-20,343
WUH,BB,2020-03-20,359
WUH,BB,2020-03-20,572
WUH,XX,2020-03-20,538
WUH,YZ,2020-03-20,445
CAN,XX,2020-03-21,440
CAN,XX,2020-03-21,513
CAN,YZ,2020-03-21,435
CAN,YZ,2020-03-21,347
CTU,AB,2020-03-21,534
CTU,BB,2020-03-21,422
CTU,BB,2020-03-21,301
CTU,BB,2020-03-21,433
CTU,XX,2020-03-21,506
