city,company,date,price
CAN,YZ,2020-03-19,367
PEK,AB,2020-03-19,452
PEK,BB,2020-03-19,401
WUH,XX,2020-03-19,328
WUH,YZ,2020-03-19,481
PEK,BB,2020-03-21,437
CAN,BB,2020-03-22,524
PEK,BB,2020-03-22,379
CTU,BB,2020-03-23,445
PEK,YZ,2020-03-23,358
WUH,AB,2020-03-23,352
WUH,BB,2020-03-23,409
PEK,AB,2020-03-24,410
WUH,AB,2020-03-24,446
CAN,BB,2020-03-25,441
CAN,XX,2020-03-25,464
PEK,YZ,2020-03-25,527
WUH,AB,2020-03-25,313
CAN,AB,2020-03-26,441
CTU,AB,2020-03-26,558
CTU,AB,2020-03-26,501
CTU,AB,2020-03-26,368
CTU,XX,2020-03-26,405
CTU,YZ,2020-03-26,422
CTU,BB,2020-03-27,463
CTU,XX,2020-03-27,340
WUH,YZ,2020-03-27,562
PEK,AB,2020-03-28,582
PEK,XX,2020-03-28,540
WUH,AB,2020-03-28,370
WUH,YZ,2020-03-28,500
CAN,BB,2020-03-29,406
CTU,BB,2020-03-29,583
CTU,XX,2020-03-29,473
WUH,XX,2020-03-29,304
WUH,YZ,2020-03-29,329
CAN,XX,2020-03-30,342
CAN,YZ,2020-03-30,328
CAN,XX,2020-03-31,372
CTU,XX,2020-03-31,514
PEK,XX,2020-03-31,565
WUH,XX,2020-03-31,551
CTU,YZ,2020-04-01,338
PEK,AB,2020-04-01,507
PEK,XX,2020-04-01,407
PEK,XX,2020-04-01,385
CAN,AB,2020-04-02,496
PEK,AB,2020-04-02,455
WUH,BB,2020-04-02,300
CTU,AB,2020-04-03,522
CTU,XX,2020-04-03,497
CTU,AB,2020-04-04,395
CTU,XX,2020-04-04,592
PEK,BB,2020-04-04,301
WUH,BB,2020-04-04,454
WUH,YZ,2020-04-04,324
CAN,YZ,2020-04-05,491
CTU,BB,2020-04-05,482
CTU,XX,2020-04-05,509
PEK,BB,2020-04-05,311
WUH,AB,2020-04-05,350
CTU,XX,2020-04-06,462
CTU,YZ,2020-04-06,537
CTU,XX,2020-04-07,596
CAN,AB,2020-04-10,484
CAN,XX,2020-04-10,317
CTU,AB,2020-04-10,393
CTU,BB,2020-04-10,481
CTU,XX,2020-04-10,506
PEK,XX,2020-04-10,533
CAN,YZ,2020-04-11,357
WUH,AB,2020-04-11,338
CTU,XX,2020-04-12,507
PEK,AB,2020-04-12,437
PEK,BB,2020-04-12,341
CAN,YZ,2020-04-13,356
CAN,YZ,2020-04-13,578
WUH,XX,2020-04-13,517
CTU,YZ,2020-04-14,505
PEK,AB,2020-04-14,441
PEK,AB,2020-04-14,339
PEK,BB,2020-04-14,372
PEK,XX,2020-04-14,423
PEK,XX,2020-04-14,385
WUH,BB,2020-04-14,371
WUH,YZ,2020-04-14,465
CAN,XX,2020-04-15,571
CTU,AB,2020-04-15,498
PEK,AB,2020-04-15,536
WUH,BB,2020-04-15,399
CAN,AB,2020-04-16,332
CTU,XX,2020-04-16,375
PEK,AB,2020-04-16,589
WUH,AB,2020-04-16,361
WUH,XX,2020-04-16,516
WUH,XX,2020-04-16,385
CAN,YZ,2020-04-17,481
PEK,BB,2020-04-17,454
PEK,XX,2020-04-17,409
WUH,AB,2020-04-17,335
