,city,company,date,price
0,CTU,XX,2020-03-15,413
1,WUH,BB,2020-03-15,462
2,CTU,AB,2020-03-16,577
3,CTU,YZ,2020-03-16,366
4,PEK,XX,2020-03-16,404
5,CAN,XX,2020-03-17,412
6,WUH,XX,2020-03-17,402
7,CTU,XX,2020-03-18,460
8,CTU,XX,2020-03-19,584
9,PEK,YZ,2020-03-19,376
10,WUH,XX,2020-03-19,452
11,CAN,AB,2020-03-20,454
12,CAN,AB,2020-03-20,362
13,CAN,AB,2020-03-20,332
14,CAN,AB,2020-03-20,426
15,CTU,AB,2020-03-20,365
16,PEK,XX,2020-03-20,304
17,PEK,AB,2020-03-21,475
18,WUH,BB,2020-03-21,416
19,WUH,YZ,2020-03-21,437
20,CAN,XX,2020-03-22,552
21,CTU,XX,2020-03-22,409
22,CTU,YZ,2020-03-22,510
23,CTU,YZ,2020-03-22,349
24,WUH,YZ,2020-03-22,400
25,CAN,AB,2020-03-23,443
26,PEK,YZ,2020-03-23,387
27,PEK,BB,2020-03-24,385
28,WUH,XX,2020-03-24,350
29,CTU,XX,2020-03-25,368
30,CTU,XX,2020-03-25,309
31,WUH,XX,2020-03-25,319
32,CAN,BB,2020-03-26,592
33,CTU,XX,2020-03-26,357
34,CTU,AB,2020-03-27,578
35,CTU,BB,2020-03-27,321
36,CTU,BB,2020-03-27,492
37,CTU,BB,2020-03-27,328
38,WUH,AB,2020-03-27,460
39,CAN,BB,2020-03-28,472
40,CTU,AB,2020-03-28,574
41,CTU,BB,2020-03-28,560
42,CTU,BB,2020-03-28,482
43,CAN,YZ,2020-03-29,589
44,WUH,BB,2020-03-29,328
45,CTU,BB,2020-03-30,310
46,CTU,YZ,2020-03-30,558
47,WUH,AB,2020-03-30,307
48,CAN,YZ,2020-03-31,585
49,CTU,AB,2020-03-31,450
50,CTU,BB,2020-03-31,382
51,PEK,BB,2020-03-31,426
52,WUH,BB,2020-03-31,346
53,CAN,BB,2020-04-01,500
54,CTU,AB,2020-04-01,425
55,CTU,YZ,2020-04-01,461
56,PEK,YZ,2020-04-01,574
57,WUH,AB,2020-04-01,407
58,CTU,AB,2020-04-02,458
59,CTU,XX,2020-04-02,415
60,WUH,AB,2020-04-02,514
61,WUH,BB,2020-04-02,390
62,CAN,BB,2020-04-03,458
63,CAN,XX,2020-04-03,346
64,CTU,BB,2020-04-03,425
65,CTU,XX,2020-04-03,356
66,PEK,XX,2020-04-03,371
67,PEK,BB,2020-04-04,375
68,WUH,XX,2020-04-04,553
69,CAN,BB,2020-04-05,442
70,CTU,BB,2020-04-05,490
71,PEK,AB,2020-04-05,487
72,WUH,YZ,2020-04-05,459
73,CAN,AB,2020-04-06,349
74,CAN,YZ,2020-04-06,481
75,CTU,XX,2020-04-06,364
76,WUH,XX,2020-04-06,505
77,WUH,YZ,2020-04-06,377
78,CAN,BB,2020-04-07,431
79,CTU,BB,2020-04-07,543
80,PEK,XX,2020-04-07,454
81,PEK,AB,2020-04-08,381
82,PEK,BB,2020-04-08,310
83,WUH,YZ,2020-04-08,557
84,CAN,BB,2020-04-09,449
85,PEK,BB,2020-04-09,308
86,PEK,YZ,2020-04-09,446
87,CTU,BB,2020-04-10,409
88,PEK,AB,2020-04-10,399
89,PEK,XX,2020-04-10,530
90,WUH,BB,2020-04-10,419
91,WUH,BB,2020-04-10,337
92,CAN,AB,2020-04-11,400
93,WUH,BB,2020-04-11,480
94,CAN,BB,2020-04-12,412
95,WUH,AB,2020-04-12,304
96,CTU,BB,2020-04-13,328
97,CTU,BB,2020-04-13,359
98,WUH,YZ,2020-04-13,382
99,WUH,YZ,2020-04-13,334
0,CAN,BB,2020-03-15,440
1,CAN,BB,2020-03-15,510
2,CTU,YZ,2020-03-15,456
3,CAN,XX,2020-03-16,374
4,PEK,BB,2020-03-17,519
